date,volume,open,close,high,low,adjclose
2018-11-16,33130381,190.5,193.52999877929688,194.96949768066406,189.4600067138672,193.52999877929688
2018-11-15,46420200,188.38999938964844,191.41000366210938,191.97000122070312,186.89999389648438,191.41000366210938
2018-11-14,60801000,193.89999389648438,186.8000030517578,194.47999572753906,185.92999267578125,186.8000030517578
2018-11-13,46882900,191.6300048828125,192.22999572753906,197.17999267578125,191.4499969482422,192.22999572753906
2018-11-12,51135500,199.0,194.1699981689453,199.85000610351562,193.7899932861328,194.1699981689453
2018-11-09,34365800,205.5500030517578,204.47000122070312,206.00999450683594,202.25,204.47000122070312
2018-11-08,25362600,209.97999572753906,208.49000549316406,210.1199951171875,206.75,208.49000549316406
2018-11-07,33424400,205.97000122070312,209.9499969482422,210.05999755859375,204.1300048828125,209.21998596191406
2018-11-06,31882900,201.9199981689453,203.77000427246094,204.72000122070312,201.69000244140625,203.06149291992188
2018-11-05,66163700,204.3000030517578,201.58999633789062,204.38999938964844,198.1699981689453,200.88905334472656
2018-11-02,91328700,209.5500030517578,207.47999572753906,213.64999389648438,205.42999267578125,206.75857543945312
2018-11-01,58323200,219.0500030517578,222.22000122070312,222.36000061035156,216.80999755859375,221.44732666015625
2018-10-31,38358900,216.8800048828125,218.86000061035156,220.4499969482422,216.6199951171875,218.09901428222656
2018-10-30,36660000,211.14999389648438,213.3000030517578,215.17999267578125,209.27000427246094,212.558349609375
2018-10-29,45935500,219.19000244140625,212.24000549316406,219.69000244140625,206.08999633789062,211.50204467773438
2018-10-26,47258400,215.89999389648438,216.3000030517578,220.19000244140625,212.6699981689453,215.54791259765625
2018-10-25,29855800,217.7100067138672,219.8000030517578,221.3800048828125,216.75,219.03575134277344
2018-10-24,40925500,222.60000610351562,215.08999633789062,224.22999572753906,214.5399932861328,214.3421173095703
2018-10-23,38767800,215.8300018310547,222.72999572753906,223.25,214.6999969482422,221.95555114746094
2018-10-22,28792100,219.7899932861328,220.64999389648438,223.36000061035156,218.94000244140625,219.88278198242188
2018-10-19,33078700,218.05999755859375,219.30999755859375,221.25999450683594,217.42999267578125,218.54745483398438
2018-10-18,32581300,217.86000061035156,216.02000427246094,219.74000549316406,213.0,215.26889038085938
2018-10-17,22885400,222.3000030517578,221.19000244140625,222.63999938964844,219.33999633789062,220.42091369628906
2018-10-16,29184000,218.92999267578125,222.14999389648438,222.99000549316406,216.75999450683594,221.3775634765625
2018-10-15,30791000,221.16000366210938,217.36000061035156,221.8300018310547,217.27000427246094,216.60423278808594
2018-10-12,40337900,220.4199981689453,222.11000061035156,222.8800048828125,216.83999633789062,221.3377227783203
2018-10-11,53124400,214.52000427246094,214.4499969482422,219.5,212.32000732421875,213.704345703125
2018-10-10,41990600,225.4600067138672,216.36000061035156,226.35000610351562,216.0500030517578,215.6077117919922
2018-10-09,26891000,223.63999938964844,226.8699951171875,227.27000427246094,222.25,226.08116149902344
2018-10-08,29663900,222.2100067138672,223.77000427246094,224.8000030517578,220.1999969482422,222.991943359375
2018-10-05,33580500,227.9600067138672,224.2899932861328,228.41000366210938,220.5800018310547,223.5101318359375
2018-10-04,32042000,230.77999877929688,227.99000549316406,232.35000610351562,226.72999572753906,227.19728088378906
